Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,70.78,%,Voëlvlei,
February 2012,01/02/12,29/02/12,water,MF9,60.59,%,Voëlvlei,
March 2012,01/03/12,31/03/12,water,MF9,51.8,%,Voëlvlei,
April 2012,01/04/12,30/04/12,water,MF9,45.06,%,Voëlvlei,
May 2012,01/05/12,31/05/12,water,MF9,42.52,%,Voëlvlei,
June 2012,01/06/12,30/06/12,water,MF9,45.08,%,Voëlvlei,
July 2012,01/07/12,31/07/12,water,MF9,59.71,%,Voëlvlei,
August 2012,01/08/12,31/08/12,water,MF9,76.44,%,Voëlvlei,
September 2012,01/09/12,30/09/12,water,MF9,98.29,%,Voëlvlei,
October 2012,01/10/12,31/10/12,water,MF9,99.1,%,Voëlvlei,
November 2012,01/11/12,30/11/12,water,MF9,94.76,%,Voëlvlei,
December 2012,01/12/12,31/12/12,water,MF9,87.32,%,Voëlvlei,
January 2013,01/01/13,31/01/13,water,MF9,77.13,%,Voëlvlei,
February 2013,01/02/13,28/02/13,water,MF9,67.02,%,Voëlvlei,
March 2013,01/03/13,31/03/13,water,MF9,58.67,%,Voëlvlei,
April 2013,01/04/13,30/04/13,water,MF9,53.37,%,Voëlvlei,
May 2013,01/05/13,31/05/13,water,MF9,51.54,%,Voëlvlei,
June 2013,01/06/13,30/06/13,water,MF9,63.66,%,Voëlvlei,
July 2013,01/07/13,31/07/13,water,MF9,79.26,%,Voëlvlei,
August 2013,01/08/13,31/08/13,water,MF9,95.09,%,Voëlvlei,
September 2013,01/09/13,30/09/13,water,MF9,101.79,%,Voëlvlei,
October 2013,01/10/13,31/10/13,water,MF9,99.55,%,Voëlvlei,
November 2013,01/11/13,30/11/13,water,MF9,97.95,%,Voëlvlei,
December 2013,01/12/13,31/12/13,water,MF9,91.9,%,Voëlvlei,
January 2014,01/01/14,31/01/14,water,MF9,85.9,%,Voëlvlei,
February 2014,01/02/14,28/02/14,water,MF9,77.58,%,Voëlvlei,
March 2014,01/03/14,31/03/14,water,MF9,68.19,%,Voëlvlei,
April 2014,01/04/14,30/04/14,water,MF9,62.13,%,Voëlvlei,
May 2014,01/05/14,31/05/14,water,MF9,58.95,%,Voëlvlei,
June 2014,01/06/14,30/06/14,water,MF9,73.32,%,Voëlvlei,
July 2014,01/07/14,31/07/14,water,MF9,91.68,%,Voëlvlei,
August 2014,01/08/14,31/08/14,water,MF9,100.2,%,Voëlvlei,
September 2014,01/09/14,30/09/14,water,MF9,100.27,%,Voëlvlei,
October 2014,01/10/14,31/10/14,water,MF9,99.24,%,Voëlvlei,
November 2014,01/11/14,30/11/14,water,MF9,94.3,%,Voëlvlei,
December 2014,01/12/14,31/12/14,water,MF9,86.72,%,Voëlvlei,
January 2015,01/01/15,31/01/15,water,MF9,76.85,%,Voëlvlei,
February 2015,01/02/15,28/02/15,water,MF9,67.21,%,Voëlvlei,
March 2015,01/03/15,31/03/15,water,MF9,58.06,%,Voëlvlei,
April 2015,01/04/15,30/04/15,water,MF9,49.44,%,Voëlvlei,
May 2015,01/05/15,31/05/15,water,MF9,42.54,%,Voëlvlei,
June 2015,01/06/15,30/06/15,water,MF9,39.36,%,Voëlvlei,
July 2015,01/07/15,31/07/15,water,MF9,41.43,%,Voëlvlei,
August 2015,01/08/15,31/08/15,water,MF9,49.38,%,Voëlvlei,
September 2015,01/09/15,30/09/15,water,MF9,49.57,%,Voëlvlei,
October 2015,01/10/15,31/10/15,water,MF9,46.25,%,Voëlvlei,
November 2015,01/11/15,30/11/15,water,MF9,40.45,%,Voëlvlei,
December 2015,01/12/15,31/12/15,water,MF9,34.18,%,Voëlvlei,
January 2016,01/01/16,31/01/16,water,MF9,28.21,%,Voëlvlei,
February 2016,01/02/16,29/02/16,water,MF9,24.0,%,Voëlvlei,
March 2016,01/03/16,31/03/16,water,MF9,21.04,%,Voëlvlei,
April 2016,01/04/16,30/04/16,water,MF9,19.41,%,Voëlvlei,
May 2016,01/05/16,31/05/16,water,MF9,21.16,%,Voëlvlei,
June 2016,01/06/16,30/06/16,water,MF9,23.18,%,Voëlvlei,
July 2016,01/07/16,31/07/16,water,MF9,39.4,%,Voëlvlei,
August 2016,01/08/16,31/08/16,water,MF9,58.2,%,Voëlvlei,
September 2016,01/09/16,30/09/16,water,MF9,67.73,%,Voëlvlei,
October 2016,01/10/16,31/10/16,water,MF9,71.45,%,Voëlvlei,
November 2016,01/11/16,30/11/16,water,MF9,66.93,%,Voëlvlei,
December 2016,01/12/16,31/12/16,water,MF9,57.62,%,Voëlvlei,
January 2017,01/01/17,31/01/17,water,MF9,46.93,%,Voëlvlei,
February 2017,01/02/17,28/02/17,water,MF9,37.2,%,Voëlvlei,
March 2017,01/03/17,31/03/17,water,MF9,28.18,%,Voëlvlei,
April 2017,01/04/17,30/04/17,water,MF9,21.11,%,Voëlvlei,
May 2017,01/05/17,31/05/17,water,MF9,16.94,%,Voëlvlei,
June 2017,01/06/17,30/06/17,water,MF9,17.38,%,Voëlvlei,
July 2017,01/07/17,31/07/17,water,MF9,20.8,%,Voëlvlei,
August 2017,01/08/17,31/08/17,water,MF9,22.89,%,Voëlvlei,
September 2017,01/09/17,30/09/17,water,MF9,26.37,%,Voëlvlei,
October 2017,01/10/17,31/10/17,water,MF9,27.35,%,Voëlvlei,
November 2017,01/11/17,30/11/17,water,MF9,27.33,%,Voëlvlei,
December 2017,01/12/17,31/12/17,water,MF9,24.24,%,Voëlvlei,
January 2018,01/01/18,31/01/18,water,MF9,19.55,%,Voëlvlei,
February 2018,01/02/18,28/02/18,water,MF9,16.88,%,Voëlvlei,
March 2018,01/03/18,31/03/18,water,MF9,15.01,%,Voëlvlei,
April 2018,01/04/18,30/04/18,water,MF9,14.12,%,Voëlvlei,
May 2018,01/05/18,31/05/18,water,MF9,15.01,%,Voëlvlei,
June 2018,01/06/18,30/06/18,water,MF9,29.28,%,Voëlvlei,
July 2018,01/07/18,31/07/18,water,MF9,53.4,%,Voëlvlei,
August 2018,01/08/18,31/08/18,water,MF9,63.51,%,Voëlvlei,
September 2018,01/09/18,30/09/18,water,MF9,83.78,%,Voëlvlei,
October 2018,01/10/18,31/10/18,water,MF9,96.3,%,Voëlvlei,
November 2018,01/11/18,30/11/18,water,MF9,93.64,%,Voëlvlei,
December 2018,01/12/18,31/12/18,water,MF9,87.6,%,Voëlvlei,
January 2019,01/01/19,31/01/19,water,MF9,79.92,%,Voëlvlei,
February 2019,01/02/19,28/02/19,water,MF9,70.86,%,Voëlvlei,
March 2019,01/03/19,31/03/19,water,MF9,63.57,%,Voëlvlei,
April 2019,01/04/19,30/04/19,water,MF9,58.69,%,Voëlvlei,
May 2019,01/05/19,31/05/19,water,MF9,55.54,%,Voëlvlei,
