Timeframe name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2012,01/01/12,31/01/12,water,MF9,43222.74,ML,Wemmershoek,
February 2012,01/02/12,29/02/12,water,MF9,39691.41,ML,Wemmershoek,
March 2012,01/03/12,31/03/12,water,MF9,33966.74,ML,Wemmershoek,
April 2012,01/04/12,30/04/12,water,MF9,29017.83,ML,Wemmershoek,
May 2012,01/05/12,31/05/12,water,MF9,27569.81,ML,Wemmershoek,
June 2012,01/06/12,30/06/12,water,MF9,27808.07,ML,Wemmershoek,
July 2012,01/07/12,31/07/12,water,MF9,34711.23,ML,Wemmershoek,
August 2012,01/08/12,31/08/12,water,MF9,47633.58,ML,Wemmershoek,
September 2012,01/09/12,30/09/12,water,MF9,58679.5,ML,Wemmershoek,
October 2012,01/10/12,31/10/12,water,MF9,58215.94,ML,Wemmershoek,
November 2012,01/11/12,30/11/12,water,MF9,56598.97,ML,Wemmershoek,
December 2012,01/12/12,31/12/12,water,MF9,53560.77,ML,Wemmershoek,
January 2013,01/01/13,31/01/13,water,MF9,49406.1,ML,Wemmershoek,
February 2013,01/02/13,28/02/13,water,MF9,45487.46,ML,Wemmershoek,
March 2013,01/03/13,31/03/13,water,MF9,41616.68,ML,Wemmershoek,
April 2013,01/04/13,30/04/13,water,MF9,40062.53,ML,Wemmershoek,
May 2013,01/05/13,31/05/13,water,MF9,39040.52,ML,Wemmershoek,
June 2013,01/06/13,30/06/13,water,MF9,48648.57,ML,Wemmershoek,
July 2013,01/07/13,31/07/13,water,MF9,55635.19,ML,Wemmershoek,
August 2013,01/08/13,31/08/13,water,MF9,58603.26,ML,Wemmershoek,
September 2013,01/09/13,30/09/13,water,MF9,58597.93,ML,Wemmershoek,
October 2013,01/10/13,31/10/13,water,MF9,57657.16,ML,Wemmershoek,
November 2013,01/11/13,30/11/13,water,MF9,57399.5,ML,Wemmershoek,
December 2013,01/12/13,31/12/13,water,MF9,55663.97,ML,Wemmershoek,
January 2014,01/01/14,31/01/14,water,MF9,51109.68,ML,Wemmershoek,
February 2014,01/02/14,28/02/14,water,MF9,46639.04,ML,Wemmershoek,
March 2014,01/03/14,31/03/14,water,MF9,41982.65,ML,Wemmershoek,
April 2014,01/04/14,30/04/14,water,MF9,38392.57,ML,Wemmershoek,
May 2014,01/05/14,31/05/14,water,MF9,34487.9,ML,Wemmershoek,
June 2014,01/06/14,30/06/14,water,MF9,47512.07,ML,Wemmershoek,
July 2014,01/07/14,31/07/14,water,MF9,56512.26,ML,Wemmershoek,
August 2014,01/08/14,31/08/14,water,MF9,58549.71,ML,Wemmershoek,
September 2014,01/09/14,30/09/14,water,MF9,58137.47,ML,Wemmershoek,
October 2014,01/10/14,31/10/14,water,MF9,55230.16,ML,Wemmershoek,
November 2014,01/11/14,30/11/14,water,MF9,50168.53,ML,Wemmershoek,
December 2014,01/12/14,31/12/14,water,MF9,46676.84,ML,Wemmershoek,
January 2015,01/01/15,31/01/15,water,MF9,43086.32,ML,Wemmershoek,
February 2015,01/02/15,28/02/15,water,MF9,39431.25,ML,Wemmershoek,
March 2015,01/03/15,31/03/15,water,MF9,36278.52,ML,Wemmershoek,
April 2015,01/04/15,30/04/15,water,MF9,32889.97,ML,Wemmershoek,
May 2015,01/05/15,31/05/15,water,MF9,29610.42,ML,Wemmershoek,
June 2015,01/06/15,30/06/15,water,MF9,30242.53,ML,Wemmershoek,
July 2015,01/07/15,31/07/15,water,MF9,32909.13,ML,Wemmershoek,
August 2015,01/08/15,31/08/15,water,MF9,41195.16,ML,Wemmershoek,
September 2015,01/09/15,30/09/15,water,MF9,42537.77,ML,Wemmershoek,
October 2015,01/10/15,31/10/15,water,MF9,40472.9,ML,Wemmershoek,
November 2015,01/11/15,30/11/15,water,MF9,38169.4,ML,Wemmershoek,
December 2015,01/12/15,31/12/15,water,MF9,35829.16,ML,Wemmershoek,
January 2016,01/01/16,31/01/16,water,MF9,33696.81,ML,Wemmershoek,
February 2016,01/02/16,29/02/16,water,MF9,31753.34,ML,Wemmershoek,
March 2016,01/03/16,31/03/16,water,MF9,29901.97,ML,Wemmershoek,
April 2016,01/04/16,30/04/16,water,MF9,28663.33,ML,Wemmershoek,
May 2016,01/05/16,31/05/16,water,MF9,28124.97,ML,Wemmershoek,
June 2016,01/06/16,30/06/16,water,MF9,27370.1,ML,Wemmershoek,
July 2016,01/07/16,31/07/16,water,MF9,34940.81,ML,Wemmershoek,
August 2016,01/08/16,31/08/16,water,MF9,40541.29,ML,Wemmershoek,
September 2016,01/09/16,30/09/16,water,MF9,41064.33,ML,Wemmershoek,
October 2016,01/10/16,31/10/16,water,MF9,38697.68,ML,Wemmershoek,
November 2016,01/11/16,30/11/16,water,MF9,33421.23,ML,Wemmershoek,
December 2016,01/12/16,31/12/16,water,MF9,27620.39,ML,Wemmershoek,
January 2017,01/01/17,31/01/17,water,MF9,22312.91,ML,Wemmershoek,
February 2017,01/02/17,28/02/17,water,MF9,21327.34,ML,Wemmershoek,
March 2017,01/03/17,31/03/17,water,MF9,21104.66,ML,Wemmershoek,
April 2017,01/04/17,30/04/17,water,MF9,21064.0,ML,Wemmershoek,
May 2017,01/05/17,31/05/17,water,MF9,21147.45,ML,Wemmershoek,
June 2017,01/06/17,30/06/17,water,MF9,21303.94,ML,Wemmershoek,
July 2017,01/07/17,31/07/17,water,MF9,21220.75,ML,Wemmershoek,
August 2017,01/08/17,31/08/17,water,MF9,23051.59,ML,Wemmershoek,
September 2017,01/09/17,30/09/17,water,MF9,25318.03,ML,Wemmershoek,
October 2017,01/10/17,31/10/17,water,MF9,27109.41,ML,Wemmershoek,
November 2017,01/11/17,30/11/17,water,MF9,28820.29,ML,Wemmershoek,
December 2017,01/12/17,31/12/17,water,MF9,30062.44,ML,Wemmershoek,
January 2018,01/01/18,31/01/18,water,MF9,30663.45,ML,Wemmershoek,
February 2018,01/02/18,28/02/18,water,MF9,28474.14,ML,Wemmershoek,
March 2018,01/03/18,31/03/18,water,MF9,25834.81,ML,Wemmershoek,
April 2018,01/04/18,30/04/18,water,MF9,26186.0,ML,Wemmershoek,
May 2018,01/05/18,31/05/18,water,MF9,28586.26,ML,Wemmershoek,
June 2018,01/06/18,30/06/18,water,MF9,37239.13,ML,Wemmershoek,
July 2018,01/07/18,31/07/18,water,MF9,48962.68,ML,Wemmershoek,
August 2018,01/08/18,31/08/18,water,MF9,49094.03,ML,Wemmershoek,
September 2018,01/09/18,30/09/18,water,MF9,53517.83,ML,Wemmershoek,
October 2018,01/10/18,31/10/18,water,MF9,55050.87,ML,Wemmershoek,
November 2018,01/11/18,30/11/18,water,MF9,52255.37,ML,Wemmershoek,
December 2018,01/12/18,31/12/18,water,MF9,47995.03,ML,Wemmershoek,
January 2019,01/01/19,31/01/19,water,MF9,43381.29,ML,Wemmershoek,
February 2019,01/02/19,28/02/19,water,MF9,38787.75,ML,Wemmershoek,
March 2019,01/03/19,31/03/19,water,MF9,34322.81,ML,Wemmershoek,
April 2019,01/04/19,30/04/19,water,MF9,29736.47,ML,Wemmershoek,
May 2019,01/05/19,31/05/19,water,MF9,25549.37,ML,Wemmershoek,
January 2012,01/01/12,31/01/12,water,MF9,22370.9,ML,Steenbras Lower,
February 2012,01/02/12,29/02/12,water,MF9,19661.62,ML,Steenbras Lower,
March 2012,01/03/12,31/03/12,water,MF9,16657.32,ML,Steenbras Lower,
April 2012,01/04/12,30/04/12,water,MF9,14665.47,ML,Steenbras Lower,
May 2012,01/05/12,31/05/12,water,MF9,14907.61,ML,Steenbras Lower,
June 2012,01/06/12,30/06/12,water,MF9,16945.07,ML,Steenbras Lower,
July 2012,01/07/12,31/07/12,water,MF9,24545.35,ML,Steenbras Lower,
August 2012,01/08/12,31/08/12,water,MF9,32887.61,ML,Steenbras Lower,
September 2012,01/09/12,30/09/12,water,MF9,33059.9,ML,Steenbras Lower,
October 2012,01/10/12,31/10/12,water,MF9,33438.55,ML,Steenbras Lower,
November 2012,01/11/12,30/11/12,water,MF9,30975.8,ML,Steenbras Lower,
December 2012,01/12/12,31/12/12,water,MF9,27118.74,ML,Steenbras Lower,
January 2013,01/01/13,31/01/13,water,MF9,23685.16,ML,Steenbras Lower,
February 2013,01/02/13,28/02/13,water,MF9,20398.71,ML,Steenbras Lower,
March 2013,01/03/13,31/03/13,water,MF9,17587.94,ML,Steenbras Lower,
April 2013,01/04/13,30/04/13,water,MF9,15300.57,ML,Steenbras Lower,
May 2013,01/05/13,31/05/13,water,MF9,16320.35,ML,Steenbras Lower,
June 2013,01/06/13,30/06/13,water,MF9,22958.63,ML,Steenbras Lower,
July 2013,01/07/13,31/07/13,water,MF9,27242.19,ML,Steenbras Lower,
August 2013,01/08/13,31/08/13,water,MF9,32546.0,ML,Steenbras Lower,
September 2013,01/09/13,30/09/13,water,MF9,33736.8,ML,Steenbras Lower,
October 2013,01/10/13,31/10/13,water,MF9,32631.13,ML,Steenbras Lower,
November 2013,01/11/13,30/11/13,water,MF9,33110.13,ML,Steenbras Lower,
December 2013,01/12/13,31/12/13,water,MF9,30327.19,ML,Steenbras Lower,
January 2014,01/01/14,31/01/14,water,MF9,27204.87,ML,Steenbras Lower,
February 2014,01/02/14,28/02/14,water,MF9,23879.93,ML,Steenbras Lower,
March 2014,01/03/14,31/03/14,water,MF9,20026.61,ML,Steenbras Lower,
April 2014,01/04/14,30/04/14,water,MF9,16841.6,ML,Steenbras Lower,
May 2014,01/05/14,31/05/14,water,MF9,13711.29,ML,Steenbras Lower,
June 2014,01/06/14,30/06/14,water,MF9,20188.47,ML,Steenbras Lower,
July 2014,01/07/14,31/07/14,water,MF9,29234.35,ML,Steenbras Lower,
August 2014,01/08/14,31/08/14,water,MF9,33573.26,ML,Steenbras Lower,
September 2014,01/09/14,30/09/14,water,MF9,32827.67,ML,Steenbras Lower,
October 2014,01/10/14,31/10/14,water,MF9,30830.65,ML,Steenbras Lower,
November 2014,01/11/14,30/11/14,water,MF9,27152.77,ML,Steenbras Lower,
December 2014,01/12/14,31/12/14,water,MF9,23141.48,ML,Steenbras Lower,
January 2015,01/01/15,31/01/15,water,MF9,19252.03,ML,Steenbras Lower,
February 2015,01/02/15,28/02/15,water,MF9,17729.54,ML,Steenbras Lower,
March 2015,01/03/15,31/03/15,water,MF9,16181.06,ML,Steenbras Lower,
April 2015,01/04/15,30/04/15,water,MF9,17663.93,ML,Steenbras Lower,
May 2015,01/05/15,31/05/15,water,MF9,16142.61,ML,Steenbras Lower,
June 2015,01/06/15,30/06/15,water,MF9,17703.2,ML,Steenbras Lower,
July 2015,01/07/15,31/07/15,water,MF9,20019.06,ML,Steenbras Lower,
August 2015,01/08/15,31/08/15,water,MF9,29190.32,ML,Steenbras Lower,
September 2015,01/09/15,30/09/15,water,MF9,30250.17,ML,Steenbras Lower,
October 2015,01/10/15,31/10/15,water,MF9,28772.26,ML,Steenbras Lower,
November 2015,01/11/15,30/11/15,water,MF9,25914.37,ML,Steenbras Lower,
December 2015,01/12/15,31/12/15,water,MF9,22463.13,ML,Steenbras Lower,
January 2016,01/01/16,31/01/16,water,MF9,18330.61,ML,Steenbras Lower,
February 2016,01/02/16,29/02/16,water,MF9,15293.76,ML,Steenbras Lower,
March 2016,01/03/16,31/03/16,water,MF9,15612.03,ML,Steenbras Lower,
April 2016,01/04/16,30/04/16,water,MF9,13173.17,ML,Steenbras Lower,
May 2016,01/05/16,31/05/16,water,MF9,12557.77,ML,Steenbras Lower,
June 2016,01/06/16,30/06/16,water,MF9,11553.6,ML,Steenbras Lower,
July 2016,01/07/16,31/07/16,water,MF9,14947.45,ML,Steenbras Lower,
August 2016,01/08/16,31/08/16,water,MF9,21523.13,ML,Steenbras Lower,
September 2016,01/09/16,30/09/16,water,MF9,23163.37,ML,Steenbras Lower,
October 2016,01/10/16,31/10/16,water,MF9,21366.42,ML,Steenbras Lower,
November 2016,01/11/16,30/11/16,water,MF9,18296.37,ML,Steenbras Lower,
December 2016,01/12/16,31/12/16,water,MF9,14755.97,ML,Steenbras Lower,
January 2017,01/01/17,31/01/17,water,MF9,13115.62,ML,Steenbras Lower,
February 2017,01/02/17,28/02/17,water,MF9,13846.31,ML,Steenbras Lower,
March 2017,01/03/17,31/03/17,water,MF9,11337.81,ML,Steenbras Lower,
April 2017,01/04/17,30/04/17,water,MF9,10885.39,ML,Steenbras Lower,
May 2017,01/05/17,31/05/17,water,MF9,8454.55,ML,Steenbras Lower,
June 2017,01/06/17,30/06/17,water,MF9,9458.68,ML,Steenbras Lower,
July 2017,01/07/17,31/07/17,water,MF9,9814.72,ML,Steenbras Lower,
August 2017,01/08/17,31/08/17,water,MF9,10256.22,ML,Steenbras Lower,
September 2017,01/09/17,30/09/17,water,MF9,15019.45,ML,Steenbras Lower,
October 2017,01/10/17,31/10/17,water,MF9,15829.59,ML,Steenbras Lower,
November 2017,01/11/17,30/11/17,water,MF9,17818.16,ML,Steenbras Lower,
December 2017,01/12/17,31/12/17,water,MF9,17668.41,ML,Steenbras Lower,
January 2018,01/01/18,31/01/18,water,MF9,15772.87,ML,Steenbras Lower,
February 2018,01/02/18,28/02/18,water,MF9,13458.5,ML,Steenbras Lower,
March 2018,01/03/18,31/03/18,water,MF9,13056.61,ML,Steenbras Lower,
April 2018,01/04/18,30/04/18,water,MF9,12983.87,ML,Steenbras Lower,
May 2018,01/05/18,31/05/18,water,MF9,11871.68,ML,Steenbras Lower,
June 2018,01/06/18,30/06/18,water,MF9,14347.3,ML,Steenbras Lower,
July 2018,01/07/18,31/07/18,water,MF9,18809.29,ML,Steenbras Lower,
August 2018,01/08/18,31/08/18,water,MF9,22080.97,ML,Steenbras Lower,
September 2018,01/09/18,30/09/18,water,MF9,29588.73,ML,Steenbras Lower,
October 2018,01/10/18,31/10/18,water,MF9,30222.55,ML,Steenbras Lower,
November 2018,01/11/18,30/11/18,water,MF9,27697.93,ML,Steenbras Lower,
December 2018,01/12/18,31/12/18,water,MF9,24499.06,ML,Steenbras Lower,
January 2019,01/01/19,31/01/19,water,MF9,21247.61,ML,Steenbras Lower,
February 2019,01/02/19,28/02/19,water,MF9,18727.46,ML,Steenbras Lower,
March 2019,01/03/19,31/03/19,water,MF9,16816.61,ML,Steenbras Lower,
April 2019,01/04/19,30/04/19,water,MF9,14633.03,ML,Steenbras Lower,
May 2019,01/05/19,31/05/19,water,MF9,13254.2,ML,Steenbras Lower,
January 2012,01/01/12,31/01/12,water,MF9,29651.52,ML,Steenbras Upper,
February 2012,01/02/12,29/02/12,water,MF9,28981.21,ML,Steenbras Upper,
March 2012,01/03/12,31/03/12,water,MF9,23682.87,ML,Steenbras Upper,
April 2012,01/04/12,30/04/12,water,MF9,15534.73,ML,Steenbras Upper,
May 2012,01/05/12,31/05/12,water,MF9,14544.39,ML,Steenbras Upper,
June 2012,01/06/12,30/06/12,water,MF9,20565.5,ML,Steenbras Upper,
July 2012,01/07/12,31/07/12,water,MF9,30716.71,ML,Steenbras Upper,
August 2012,01/08/12,31/08/12,water,MF9,31697.84,ML,Steenbras Upper,
September 2012,01/09/12,30/09/12,water,MF9,30786.67,ML,Steenbras Upper,
October 2012,01/10/12,31/10/12,water,MF9,32388.87,ML,Steenbras Upper,
November 2012,01/11/12,30/11/12,water,MF9,31932.7,ML,Steenbras Upper,
December 2012,01/12/12,31/12/12,water,MF9,29426.97,ML,Steenbras Upper,
January 2013,01/01/13,31/01/13,water,MF9,28607.06,ML,Steenbras Upper,
February 2013,01/02/13,28/02/13,water,MF9,26257.39,ML,Steenbras Upper,
March 2013,01/03/13,31/03/13,water,MF9,23719.74,ML,Steenbras Upper,
April 2013,01/04/13,30/04/13,water,MF9,22808.77,ML,Steenbras Upper,
May 2013,01/05/13,31/05/13,water,MF9,21951.29,ML,Steenbras Upper,
June 2013,01/06/13,30/06/13,water,MF9,26301.93,ML,Steenbras Upper,
July 2013,01/07/13,31/07/13,water,MF9,28714.77,ML,Steenbras Upper,
August 2013,01/08/13,31/08/13,water,MF9,31847.94,ML,Steenbras Upper,
September 2013,01/09/13,30/09/13,water,MF9,32084.2,ML,Steenbras Upper,
October 2013,01/10/13,31/10/13,water,MF9,31915.35,ML,Steenbras Upper,
November 2013,01/11/13,30/11/13,water,MF9,31716.43,ML,Steenbras Upper,
December 2013,01/12/13,31/12/13,water,MF9,31034.94,ML,Steenbras Upper,
January 2014,01/01/14,31/01/14,water,MF9,31427.42,ML,Steenbras Upper,
February 2014,01/02/14,28/02/14,water,MF9,31172.96,ML,Steenbras Upper,
March 2014,01/03/14,31/03/14,water,MF9,29468.39,ML,Steenbras Upper,
April 2014,01/04/14,30/04/14,water,MF9,27027.4,ML,Steenbras Upper,
May 2014,01/05/14,31/05/14,water,MF9,24714.23,ML,Steenbras Upper,
June 2014,01/06/14,30/06/14,water,MF9,29003.57,ML,Steenbras Upper,
July 2014,01/07/14,31/07/14,water,MF9,31614.35,ML,Steenbras Upper,
August 2014,01/08/14,31/08/14,water,MF9,32033.16,ML,Steenbras Upper,
September 2014,01/09/14,30/09/14,water,MF9,32092.0,ML,Steenbras Upper,
October 2014,01/10/14,31/10/14,water,MF9,32010.39,ML,Steenbras Upper,
November 2014,01/11/14,30/11/14,water,MF9,31450.53,ML,Steenbras Upper,
December 2014,01/12/14,31/12/14,water,MF9,31537.71,ML,Steenbras Upper,
January 2015,01/01/15,31/01/15,water,MF9,31076.65,ML,Steenbras Upper,
February 2015,01/02/15,28/02/15,water,MF9,28394.43,ML,Steenbras Upper,
March 2015,01/03/15,31/03/15,water,MF9,25630.77,ML,Steenbras Upper,
April 2015,01/04/15,30/04/15,water,MF9,19642.73,ML,Steenbras Upper,
May 2015,01/05/15,31/05/15,water,MF9,18352.0,ML,Steenbras Upper,
June 2015,01/06/15,30/06/15,water,MF9,18114.63,ML,Steenbras Upper,
July 2015,01/07/15,31/07/15,water,MF9,22810.39,ML,Steenbras Upper,
August 2015,01/08/15,31/08/15,water,MF9,31849.97,ML,Steenbras Upper,
September 2015,01/09/15,30/09/15,water,MF9,30386.6,ML,Steenbras Upper,
October 2015,01/10/15,31/10/15,water,MF9,30089.42,ML,Steenbras Upper,
November 2015,01/11/15,30/11/15,water,MF9,27254.5,ML,Steenbras Upper,
December 2015,01/12/15,31/12/15,water,MF9,24974.32,ML,Steenbras Upper,
January 2016,01/01/16,31/01/16,water,MF9,24507.26,ML,Steenbras Upper,
February 2016,01/02/16,29/02/16,water,MF9,23257.48,ML,Steenbras Upper,
March 2016,01/03/16,31/03/16,water,MF9,18842.42,ML,Steenbras Upper,
April 2016,01/04/16,30/04/16,water,MF9,18401.7,ML,Steenbras Upper,
May 2016,01/05/16,31/05/16,water,MF9,17886.97,ML,Steenbras Upper,
June 2016,01/06/16,30/06/16,water,MF9,19318.1,ML,Steenbras Upper,
July 2016,01/07/16,31/07/16,water,MF9,26810.55,ML,Steenbras Upper,
August 2016,01/08/16,31/08/16,water,MF9,31862.68,ML,Steenbras Upper,
September 2016,01/09/16,30/09/16,water,MF9,30981.37,ML,Steenbras Upper,
October 2016,01/10/16,31/10/16,water,MF9,29130.23,ML,Steenbras Upper,
November 2016,01/11/16,30/11/16,water,MF9,26932.47,ML,Steenbras Upper,
December 2016,01/12/16,31/12/16,water,MF9,24219.9,ML,Steenbras Upper,
January 2017,01/01/17,31/01/17,water,MF9,21995.22,ML,Steenbras Upper,
February 2017,01/02/17,28/02/17,water,MF9,18280.1,ML,Steenbras Upper,
March 2017,01/03/17,31/03/17,water,MF9,17713.72,ML,Steenbras Upper,
April 2017,01/04/17,30/04/17,water,MF9,16663.32,ML,Steenbras Upper,
May 2017,01/05/17,31/05/17,water,MF9,17864.3,ML,Steenbras Upper,
June 2017,01/06/17,30/06/17,water,MF9,17894.61,ML,Steenbras Upper,
July 2017,01/07/17,31/07/17,water,MF9,22830.31,ML,Steenbras Upper,
August 2017,01/08/17,31/08/17,water,MF9,29227.94,ML,Steenbras Upper,
September 2017,01/09/17,30/09/17,water,MF9,31462.13,ML,Steenbras Upper,
October 2017,01/10/17,31/10/17,water,MF9,31483.53,ML,Steenbras Upper,
November 2017,01/11/17,30/11/17,water,MF9,31391.48,ML,Steenbras Upper,
December 2017,01/12/17,31/12/17,water,MF9,31042.22,ML,Steenbras Upper,
January 2018,01/01/18,31/01/18,water,MF9,28782.52,ML,Steenbras Upper,
February 2018,01/02/18,28/02/18,water,MF9,27030.39,ML,Steenbras Upper,
March 2018,01/03/18,31/03/18,water,MF9,27665.1,ML,Steenbras Upper,
April 2018,01/04/18,30/04/18,water,MF9,21909.27,ML,Steenbras Upper,
May 2018,01/05/18,31/05/18,water,MF9,18744.45,ML,Steenbras Upper,
June 2018,01/06/18,30/06/18,water,MF9,25519.03,ML,Steenbras Upper,
July 2018,01/07/18,31/07/18,water,MF9,31552.52,ML,Steenbras Upper,
August 2018,01/08/18,31/08/18,water,MF9,31368.26,ML,Steenbras Upper,
September 2018,01/09/18,30/09/18,water,MF9,30566.9,ML,Steenbras Upper,
October 2018,01/10/18,31/10/18,water,MF9,26186.97,ML,Steenbras Upper,
November 2018,01/11/18,30/11/18,water,MF9,20950.03,ML,Steenbras Upper,
December 2018,01/12/18,31/12/18,water,MF9,21982.52,ML,Steenbras Upper,
January 2019,01/01/19,31/01/19,water,MF9,22390.71,ML,Steenbras Upper,
February 2019,01/02/19,28/02/19,water,MF9,22342.14,ML,Steenbras Upper,
March 2019,01/03/19,31/03/19,water,MF9,22207.84,ML,Steenbras Upper,
April 2019,01/04/19,30/04/19,water,MF9,21886.87,ML,Steenbras Upper,
May 2019,01/05/19,31/05/19,water,MF9,21153.63,ML,Steenbras Upper,
January 2012,01/01/12,31/01/12,water,MF9,116128.35,ML,Voëlvlei,
February 2012,01/02/12,29/02/12,water,MF9,99415.79,ML,Voëlvlei,
March 2012,01/03/12,31/03/12,water,MF9,85015.42,ML,Voëlvlei,
April 2012,01/04/12,30/04/12,water,MF9,73939.57,ML,Voëlvlei,
May 2012,01/05/12,31/05/12,water,MF9,69765.58,ML,Voëlvlei,
June 2012,01/06/12,30/06/12,water,MF9,73968.4,ML,Voëlvlei,
